"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","DAPI-A","FITC-A","PE-A","V-510_50-A","Time"
115518,38296,197685,102337,23399,262143,895.87,93.13,139.08,248.49,130.65,31.9264
130736,45429,188600,110436,25171,262143,961.52,109.88,157.38,267.3,164.15,31.9584
117640,37879,203534,117625,26856,262143,1086.76,127.97,161.04,288.09,183.58,31.9822
119095,37763,206684,104082,25949,262143,1003.94,122.61,183,256.41,158.12,32.0916
123371,40215,201051,117050,26632,262143,1031.21,128.64,115.9,252.45,171.52,32.3529
114488,36971,202944,109510,24782,262143,1012.02,117.25,148.84,266.31,191.62,32.796
105483,34931,197903,105070,25124,262143,1041.31,73.7,89.06,249.48,90.45,32.9188
118651,39330,197709,100781,22048,262143,925.16,129.31,145.18,198.99,189.61,32.9364
118498,39939,194444,120431,27291,262143,1320.07,127.3,150.06,310.86,174.87,32.9756
114825,36518,206068,122520,27206,262143,989.8,109.88,151.28,288.09,164.82,33.0686
112248,35431,207624,114895,24887,262143,1161.5,109.21,115.9,339.57,152.76,33.1254
115886,36094,210415,121556,26478,262143,896.88,122.61,152.5,295.02,153.43,33.2968
116508,39509,193260,110282,24374,262143,938.29,93.13,130.54,277.2,126.63,33.6965
143999,53166,177503,95823.7,22218,262143,613.07,103.85,118.34,199.98,117.25,33.7306
110408,34766,208125,106317,26634,261605,890.82,99.83,117.12,235.62,117.25,33.8462
111366,36369,200678,123828,26175,262143,1106.96,113.9,156.16,288.09,192.29,34.186
115453,39134,193344,123157,28906,262143,957.48,105.19,208.62,275.22,160.8,34.7674
108581,35211,202094,118164,25779,262143,1305.93,105.86,126.88,279.18,162.14,34.8944
123743,44058,184067,113247,26168,262143,1195.84,132.66,148.84,302.94,167.5,34.9688
123635,41640,194586,109196,22937,262143,1024.14,133.33,142.74,297,178.89,34.9894
113027,37690,196533,115812,23833,262143,1294.82,133.33,125.66,307.89,202.34,35.133
111428,35369,206468,120527,29257,262143,1061.51,95.14,137.86,309.87,150.08,35.1536
131653,46138,187004,104597,25443,262143,1062.52,138.02,150.06,253.44,191.62,35.3003
111685,38830,188498,112757,27292,262143,1284.72,67,154.94,276.21,131.32,35.67
107743,23813,262143,90747.3,16401,262143,752.45,123.28,103.7,180.18,143.38,35.6886
122709,42522,189122,113564,26060,262143,892.84,113.23,198.86,289.08,175.54,35.9509
116196,38867,195926,118729,26295,262143,887.79,147.4,130.54,267.3,183.58,36.2938
122418,40995,195701,110515,20909,262143,835.27,124.62,145.18,309.87,178.89,36.6356
126268,44982,183964,77639.6,20513,248047,740.33,139.36,134.2,206.91,188.27,36.7657
119884,40486,194060,103199,26152,258612,903.95,87.77,130.54,235.62,121.94,36.7874
129308,46625,181755,97430.4,22679,262143,814.06,105.19,102.48,227.7,130.65,36.807
111277,36397,200364,113423,25209,262143,1183.72,119.93,169.58,310.86,151.42,36.8266
114118,38359,194969,120286,26303,262143,1061.51,129.31,152.5,303.93,167.5,37.4122
114401,37918,197726,125482,30236,262143,1176.65,140.7,141.52,299.97,192.29,37.4267
118184,39543,195871,115730,25839,262143,1047.37,119.93,174.46,295.02,182.91,38.0101
132183,45419,190730,109011,24175,262143,1220.08,132.66,157.38,274.23,182.24,38.1609
127656,43910,190528,108254,22811,262143,813.05,139.36,183,251.46,178.89,38.1764
127843,39890,210035,134035,29013,262143,601.96,138.02,104.92,280.17,127.97,38.1898
127452,43099,193803,103982,21933,262143,1125.14,125.96,169.58,256.41,178.22,38.2601
110861,36287,200220,122769,29251,262143,1073.63,97.15,84.18,269.28,113.9,38.4077
121354,40968,194128,106800,22743,262143,881.73,132.66,139.08,254.43,177.55,38.4325
112880,34283,215783,112796,27380,262143,981.72,73.03,153.72,295.02,131.99,38.4573
109747,35434,202979,82141.4,20812,258659,638.32,296.81,190.32,198.99,246.56,38.7196
102741,31807,211691,110317,23528,262143,1152.41,74.37,122,301.95,123.28,38.9024
106200,33163,209871,121004,27285,262143,1025.15,109.88,151.28,264.33,176.88,39.049
118726,40043,194312,85559.8,18844,262143,722.15,99.16,107.36,210.87,121.94,39.5819
116465,39498,193242,109155,24680,262143,905.97,129.31,115.9,244.53,160.8,39.7048
128723,40860,206461,105243,21668,262143,1232.2,117.92,109.8,289.08,150.08,39.7761
116839,37971,201658,116894,26275,262143,1092.82,127.97,170.8,281.16,158.12,40.9172
127513,45014,185646,125465,31922,257580,960.51,129.31,174.46,262.35,177.55,41.7279
106716,32384,215963,117545,25586,262143,1089.79,124.62,174.46,303.93,177.55,41.8869
131096,44947,191148,107248,22515,262143,1187.76,121.94,135.42,270.27,156.11,41.9117
123648,44099,183755,113569,27809,262143,1160.49,134.67,143.96,273.24,159.46,41.9417
124864,41856,195505,116905,28089,262143,999.9,138.69,143.96,277.2,174.87,42.1823
118003,39374,196410,118665,24787,262143,1271.59,119.93,165.92,276.21,187.6,42.2071
121617,42595,187118,101362,22674,262143,944.35,116.58,159.82,271.26,186.26,42.5376
114985,38904,193699,100594,22160,262143,1169.58,85.09,119.56,222.75,136.68,42.7875
110488,36318,199376,116449,24361,262143,1240.28,124.62,134.2,282.15,150.75,42.8773
111153,37054,196593,116411,27153,262143,1379.66,101.84,107.36,287.1,130.65,42.9114
113635,37026,201133,115073,24661,262143,1248.36,133.33,139.08,353.43,170.85,42.9424
122574,41837,192007,102055,21472,262143,1268.56,113.9,112.24,298.98,164.15,43.0704
120413,41066,192164,122281,27340,262143,1144.33,127.97,117.12,249.48,194.3,43.2305
116175,37263,204321,111220,26474,262143,1178.67,154.1,181.78,285.12,158.79,43.2512
111663,34333,213147,112011,24282,262143,1171.6,150.08,139.08,280.17,196.98,43.2894
114366,37162,201687,126026,27897,262143,1466.52,150.08,161.04,326.7,183.58,43.5579
130139,43435,196358,117262,24953,262143,985.76,128.64,215.94,292.05,188.94,43.5754
104419,30221,226439,114441,25017,262143,1417.03,118.59,143.96,325.71,147.4,43.7779
116822,36257,211160,120018,26678,262143,1169.58,110.55,158.6,314.82,146.06,43.8243
123190,40913,197331,116957,22857,262143,1391.78,142.71,197.64,319.77,184.25,44.351
134444,45280,194587,108890,23560,262143,1058.48,125.96,148.84,283.14,176.88,44.3799
123475,42420,190761,124294,31169,261340,1156.45,100.5,128.1,282.15,154.1,44.4088
128991,44407,190365,108765,22708,262143,1196.85,115.24,173.24,261.36,185.59,44.7197
129262,44604,189923,131717,28272,262143,1374.61,162.81,187.88,309.87,201,45.3496
109639,34856,206143,116676,25348,262143,1217.05,133.33,207.4,331.65,159.46,46.1448
140169,51939,176863,106604,27881,250578,1351.38,154.77,159.82,278.19,198.99,46.5104
121813,41344,193090,113710,23390,262143,1012.02,166.16,148.84,239.58,190.95,46.5961
119661,42822,183133,105071,22931,262143,1478.64,138.02,154.94,275.22,199.66,46.8368
108150,34670,204434,110427,28789,251379,1048.38,131.99,174.46,267.3,183.58,46.8533
126860,45371,183242,112369,25749,262143,1026.16,144.72,200.08,306.9,188.27,47.222
122097,43028,185966,106152,25032,262143,1195.84,146.73,131.76,245.52,156.11,47.3252
126620,45103,183983,114368,25001,262143,979.7,112.56,150.06,267.3,154.1,47.3572
116951,36879,207829,118050,27547,262143,1278.66,138.02,159.82,299.97,193.63,47.793
113194,38126,194573,118618,23679,262143,1274.62,139.36,129.32,340.56,153.43,47.8333
118938,38636,201748,114848,25402,262143,1428.14,124.62,168.36,266.31,193.63,47.9913
116088,36225,210020,98962.7,19020,262143,1140.29,140.03,103.7,250.47,177.55,48.1597
115641,38034,199260,116320,23289,262143,1279.67,117.92,140.3,323.73,178.89,48.9466
125783,41099,200571,123061,24194,262143,1278.66,121.94,163.48,273.24,176.21,48.9683
117707,38263,201607,106720,23613,262143,1098.88,156.11,180.56,273.24,181.57,49.3246
106962,34725,201869,115242,29001,260423,1441.27,94.47,139.08,268.29,149.41,49.4485
130903,47846,179301,105574,25146,262143,1130.19,130.65,152.5,283.14,182.91,49.6416
118279,36826,210491,117671,23349,262143,1161.5,140.03,153.72,266.31,175.54,49.9297
107702,33562,210308,108865,24327,262143,1015.05,75.71,80.52,285.12,115.24,49.9587
113938,38010,196449,113907,22948,262143,1143.32,85.76,139.08,287.1,134,50.0599
106381,31035,224644,120729,24137,262143,1151.4,128.64,122,315.81,174.2,50.0805
114144,36166,206838,116556,24410,262143,1256.44,125.29,142.74,302.94,187.6,50.1414
129736,45859,185402,120354,26321,262143,1023.13,101.17,165.92,288.09,137.35,50.2902
114634,39664,189407,113471,23963,262143,1092.82,102.51,162.26,302.94,130.65,50.9284
121750,42803,186413,104300,24042,262143,1140.29,144.05,204.96,241.56,168.17,50.9697
111850,40006,183227,102460,25541,262143,1113.02,139.36,131.76,230.67,154.77,51.0058
127944,43529,192628,110520,26096,262143,936.27,114.57,90.28,225.72,177.55,51.3115
117512,39235,196285,111673,23052,262143,868.6,80.4,103.7,238.59,117.92,51.327
131128,46274,185712,85162.1,20508,262143,886.78,211.72,234.24,215.82,234.5,51.3446
121597,40991,194408,117429,27819,262143,1374.61,124.62,173.24,314.82,174.87,51.358
136279,48707,183366,110153,26186,262143,1025.15,131.32,145.18,246.51,195.64,51.3693
110851,34598,209975,112668,24146,262143,1078.68,132.66,100.04,290.07,173.53,51.3817
131553,36120,238689,143695,28591,262143,78.78,123.28,137.86,259.38,154.77,51.3941
118268,38962,198932,122464,27237,262143,1054.44,134.67,136.64,274.23,182.91,51.4365
113132,36867,201107,115140,24636,262143,1016.06,163.48,174.46,318.78,194.97,51.7318
132165,46267,187209,92501.6,20061,262143,911.02,140.03,156.16,259.38,162.14,51.7959
119168,40747,191665,101982,21855,262143,799.92,115.91,130.54,250.47,140.7,51.959
119987,38350,205044,83490.7,21584,253505,730.23,299.49,195.2,185.13,280.06,52.0726
122898,37855,212765,122048,28378,262143,1242.3,128.64,150.06,296.01,182.24,53.0764
118663,37490,207434,120746,28313,262143,1166.55,150.75,154.94,310.86,186.26,53.1012
112761,38173,193590,92629.7,23230,261325,1015.05,96.48,87.84,228.69,128.64,53.1425
118087,40271,192173,96893.6,23534,262143,1063.53,140.7,139.08,216.81,151.42,53.1621
115536,37794,200343,120402,27151,262143,1101.91,134,175.68,305.91,176.88,53.2293
122617,42122,190776,113488,25593,262143,1465.51,124.62,175.68,325.71,172.19,53.2985
109215,37119,192826,115069,27006,262143,1238.26,125.96,184.22,275.22,158.79,53.3212
