"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","DAPI-A","FITC-A","PE-A","V-510_50-A","Time"
116179,36031,211315,112962,25734,262143,139916,122.61,130.54,264.33,170.85,32.7854
128704,44664,188848,102102,24465,262143,124055,133.33,96.38,267.3,163.48,32.8043
128708,46558,181172,116164,28037,262143,83889.6,155.44,142.74,270.27,176.21,32.8274
114404,37879,197935,112075,25042,262143,128796,120.6,146.4,308.88,178.89,32.8516
129932,45671,186448,103080,23664,262143,133021,135.34,141.52,270.27,157.45,32.8715
125517,43991,186990,105431,22733,262143,172272,130.65,118.34,277.2,175.54,33.0542
120185,41364,190417,115665,24317,262143,147514,100.5,176.9,304.92,129.31,33.0826
118264,37031,209298,114887,24405,262143,127369,131.99,151.28,215.82,185.59,33.1161
119682,37106,211380,113846,25024,262143,177350,121.27,156.16,318.78,173.53,33.3293
109164,35086,203903,116282,25243,262143,118612,127.97,153.72,249.48,176.21,33.6831
114653,38447,195436,112178,24455,262143,166234,109.88,125.66,318.78,138.69,33.9644
113184,37246,199152,122233,28547,262143,176275,140.7,154.94,337.59,194.97,34.6489
137612,49203,183293,82387.8,18575,262143,70264.7,215.74,186.66,211.86,207.7,34.6804
127881,43155,194202,111819,23489,262143,108051,117.92,159.82,212.85,179.56,34.7046
121329,39422,201700,111434,25218,262143,162498,152.76,176.9,290.07,165.49,34.7245
123704,41311,196245,115845,24271,262143,164796,131.99,150.06,272.25,166.83,35.0426
132252,46082,188084,108652,25041,262143,107756,114.57,115.9,286.11,202.34,35.5371
118400,41034,189098,114831,23597,262143,136811,110.55,118.34,275.22,156.11,35.5654
113304,39075,190032,102975,21216,262143,184859,101.17,107.36,275.22,127.3,35.9675
115073,37864,199171,117132,27965,262143,137489,138.69,142.74,302.94,184.25,36.1764
117811,39160,197163,123795,27221,262143,169536,130.65,156.16,290.07,184.92,36.1985
108494,33053,215117,117697,25252,262143,170348,138.02,159.82,317.79,172.86,36.4179
126764,44683,185923,118721,26653,262143,169999,148.07,139.08,286.11,157.45,36.568
129054,45404,186276,116189,26729,262143,147534,140.7,179.34,284.13,192.29,36.5953
105212,38597,178646,102817,25808,261089,244050,129.31,156.16,314.82,180.23,37.8226
124929,43790,186968,111872,23657,262143,184176,235.17,165.92,291.06,221.77,37.8688
108322,35011,202765,120374,25698,262143,165576,123.95,183,314.82,197.65,38.0031
119135,39848,195935,111042,23054,262143,159971,111.22,179.34,315.81,175.54,38.021
124422,42002,194136,101225,23570,262143,120305,120.6,125.66,227.7,140.03,38.0378
125892,41303,199754,113745,24229,262143,183659,107.2,126.88,257.4,120.6,38.0535
136703,48234,185739,118862,27118,262143,152449,160.8,146.4,300.96,188.27,38.0745
120172,41478,189874,116913,25236,262143,134281,123.95,152.5,280.17,189.61,38.6362
126659,43249,191929,114116,24924,262143,155173,89.78,151.28,284.13,154.1,38.8115
119811,40436,194181,121890,26675,262143,180813,130.65,208.62,350.46,208.37,38.9123
130898,43433,197511,112147,22884,262143,262143,118.59,90.28,288.09,143.38,39.4078
116343,37767,201886,124901,26746,262143,145673,116.58,112.24,284.13,135.34,39.433
117962,40302,191820,116349,24461,262143,202953,87.1,118.34,319.77,136.01,39.5821
120795,42116,187968,110990,23580,262143,168257,147.4,156.16,336.6,218.42,39.8813
156300,57381,178514,93249.5,20556,262143,91749.4,137.35,128.1,201.96,172.86,40.5091
122418,41971,191150,118029,25073,262143,132933,120.6,173.24,319.77,199.66,40.59
120503,41333,191065,125686,29833,262143,173701,138.69,151.28,326.7,175.54,40.9112
122058,39479,202619,110877,23937,262143,147201,98.49,126.88,257.4,137.35,40.9374
117211,37426,205246,104087,21286,262143,185658,115.91,146.4,301.95,134.67,41.1978
138110,50395,179604,115730,23774,262143,124867,117.25,172.02,278.19,188.94,41.2335
152136,54718,182214,109138,23423,262143,153666,151.42,148.84,226.71,195.64,41.3248
127031,42667,195118,99534.9,23140,262143,128965,146.73,230.58,295.02,231.82,41.496
149515,56427,173651,106016,24265,262143,136653,106.53,104.92,278.19,125.29,41.517
143314,51879,181041,104859,23221,262143,166759,145.39,135.42,233.64,186.93,41.5422
121860,41919,190516,117976,25871,262143,138866,132.66,161.04,260.37,180.23,41.8267
126203,42779,193338,104147,24164,262143,153191,140.7,167.14,276.21,177.55,42.2634
132969,46710,186561,117259,24549,262143,184208,143.38,150.06,283.14,178.22,42.8786
120729,38319,206480,112512,21964,262143,179122,103.85,113.46,312.84,158.79,42.9615
100149,31551,208024,117348,30016,256214,182733,134.67,152.5,333.63,170.85,43.0182
122182,41814,191498,118179,26864,262143,160309,119.93,109.8,340.56,191.62,43.3731
142268,51140,182316,108762,23815,262143,136572,99.16,122,228.69,123.95,43.4644
144075,53515,176439,91839.2,21798,262143,114123,170.18,161.04,218.79,190.28,43.4991
133878,48083,182473,104333,23718,262143,118333,107.87,158.6,230.67,138.69,43.7731
116798,37088,206387,120774,26507,262143,161671,115.91,151.28,335.61,184.92,43.8455
116934,45359,168949,95871.3,25333,248017,167261,146.73,134.2,221.76,182.91,44.4597
125170,40920,200467,117697,26019,262143,139470,140.03,152.5,275.22,184.92,44.4765
117019,39714,193105,104778,20248,262143,140454,90.45,130.54,280.17,131.99,44.8198
114079,36572,204426,121319,27792,262143,132073,140.7,161.04,321.75,182.24,44.8565
112501,34566,213298,128782,28050,262143,149485,91.79,137.86,328.68,126.63,45.2586
121465,39279,202661,118482,26096,262143,142386,152.09,148.84,315.81,187.6,45.2995
115220,39795,189749,107027,23615,262143,205334,97.82,135.42,286.11,132.66,45.5557
118567,40835,190289,112754,23492,262143,153358,125.29,115.9,304.92,180.23,45.5735
135968,48497,183739,101278,23572,262143,138555,129.31,131.76,236.61,137.35,45.6932
120425,37194,212189,129779,27325,262143,141102,129.98,179.34,305.91,182.91,46.005
136677,47190,189813,68511.5,19412,231299,78397.2,404.68,209.84,179.19,326.96,46.0397
14098.6,15287,60441.5,86.62,111,51141.7,12.12,7.37,17.08,2.97,-15.41,46.1195
112476,40371,182587,116117,26660,262143,183291,131.32,132.98,296.01,192.29,46.5163
115173,35366,213424,124700,25236,262143,60708.1,185.59,187.88,304.92,248.57,46.573
117400,40220,191297,113425,24262,262143,103124,136.68,142.74,228.69,165.49,46.7326
115525,37331,202808,107132,24864,262143,45586.3,97.15,141.52,205.92,131.99,46.9247
121400,41361,192357,98673.6,21125,262143,98889.1,136.01,113.46,249.48,191.62,47.099
117191,37991,202160,81754.6,19749,262143,121058,271.35,174.46,214.83,238.52,47.1976
128729,47551,177418,106262,22165,262143,129503,140.03,136.64,255.42,182.91,47.2176
139878,48371,189515,107832,23016,262143,107966,123.95,129.32,250.47,157.45,47.2375
116622,39143,195256,112844,22766,262143,169439,91.12,150.06,253.44,138.02,47.3772
122350,41410,193632,119311,24924,262143,128064,140.7,150.06,307.89,188.94,47.521
113599,36771,202464,117174,27956,262143,145531,92.46,118.34,322.74,131.32,47.5525
118276,38463,201527,113081,27771,262143,129210,136.68,156.16,289.08,178.22,47.7299
127122,41100,202702,105946,22649,262143,155462,117.92,123.22,244.53,145.39,47.7509
120847,39607,199960,112727,26056,262143,143365,131.99,156.16,300.96,181.57,48.1404
9607.84,10663,59050.9,71.98,61,77332.5,32.32,0,-14.64,-22.77,13.4,48.5015
132583,45299,191813,104798,22720,262143,113684,131.32,156.16,255.42,160.13,48.6296
131073,44614,192540,100500,20638,262143,110768,96.48,111.02,251.46,129.98,48.6569
118925,40451,192674,114772,26459,262143,92402.9,147.4,154.94,255.42,167.5,49.4516
131608,45822,188230,113571,24440,262143,123864,101.84,131.76,252.45,132.66,49.4737
128468,42370,198708,117934,25501,262143,131892,86.43,147.62,289.08,146.06,49.9724
111070,35143,207128,114252,24928,262143,121069,138.02,130.54,278.19,158.79,50.0627
117784,40755,189402,111141,25044,262143,99878.9,148.07,167.14,264.33,195.64,50.9739
129207,45963,184229,99966.8,25451,257413,151022,111.89,146.4,298.98,163.48,50.9981
4451.66,5605,52050.7,61,68,58789.6,-23.23,8.71,-14.64,5.94,-3.35,51.4033
114482,38036,197253,109749,24724,262143,175827,93.8,128.1,295.02,142.04,51.6847
136738,48810,183594,107644,26868,262143,113215,166.83,170.8,267.3,176.88,51.7067
124881,42813,191162,100832,23836,262143,91206,145.39,147.62,269.28,201.67,51.7267
101730,30823,216299,120841,26628,262143,200312,119.93,187.88,313.83,160.8,51.7392
115169,37822,199560,112105,24386,262143,133452,162.81,168.36,313.83,182.91,52.1613
119246,39982,195461,113699,24392,262143,101723,134.67,174.46,273.24,154.1,52.2726
117369,38783,198331,118808,24995,262143,117524,140.7,119.56,295.02,148.07,52.2946
111633,35106,208398,101587,22927,262143,127636,117.25,119.56,287.1,187.6,52.3177
117141,39515,194279,111831,26727,262143,130929,119.93,131.76,298.98,188.27,52.5865
119173,40378,193425,98616.3,21733,262143,108705,188.27,135.42,210.87,184.92,52.9938
114847,37298,201797,115390,27105,262143,171960,87.1,130.54,256.41,126.63,53.2605
124651,44035,185514,110193,25512,262143,144919,123.28,173.24,278.19,182.91,53.2794
125572,42762,192449,106125,25752,262143,149707,148.07,107.36,318.78,181.57,53.4253
109572,33049,217282,117198,24600,262143,163709,85.09,131.76,320.76,127.97,53.4421
124113,42478,191484,112341,24729,262143,130047,123.95,181.78,289.08,183.58,53.462
131478,44722,192670,109439,24693,262143,144837,184.25,204.96,294.03,241.2,53.4841
118095,42002,184264,119410,27761,262143,109323,151.42,161.04,320.76,150.75,53.4998
121185,39358,201788,113888,23348,262143,140341,121.94,111.02,250.47,177.55,53.5282
116521,36770,207678,114952,23721,262143,164152,119.93,104.92,308.88,155.44,53.9282
135818,46194,192686,118647,25839,262143,120454,137.35,132.98,292.05,166.83,54.0657
115604,44142,171633,110672,24937,262143,140648,138.02,164.7,289.08,180.9,54.7533
131462,45362,189928,108919,27068,262143,126107,146.06,153.72,271.26,162.14,54.7701
135223,48551,182529,117796,25561,262143,125082,115.91,126.88,334.62,184.92,54.7953
128357,44154,190514,109417,22629,262143,107506,102.51,93.94,294.03,140.7,54.8195
122858,38572,208743,122897,25724,262143,180649,138.69,231.8,285.12,172.86,54.8426
117169,38514,199376,119151,28160,262143,181998,125.29,157.38,303.93,185.59,54.8783
119866,43590,180215,108774,25967,262143,166309,129.31,134.2,309.87,148.74,54.9003
115217,36950,204353,120060,24925,262143,122966,123.95,135.42,289.08,178.22,54.9161
144909,52951,179349,103458,23125,262143,109626,128.64,134.2,258.39,150.08,54.9392
123005,41527,194120,100590,22709,262143,84142.1,140.7,129.32,253.44,175.54,55.0116
8928.04,10097,57948.7,52.46,68,50559.1,-21.21,12.73,-2.44,-3.96,15.41,55.0232
125850,42286,195045,107615,25127,262143,107666,97.15,122,256.41,127.97,55.0326
116092,38852,195826,131892,31045,262143,152135,111.89,212.28,294.03,166.83,55.1134
121659,41799,190748,119087,27054,262143,156662,143.38,211.06,344.52,168.17,55.1355
116225,39559,192546,113615,28237,262143,155631,140.03,158.6,310.86,198.99,55.778
121295,40431,196611,93082.3,21957,262143,140712,88.44,111.02,235.62,126.63,55.8389
118445,39059,198735,119072,25401,262143,194323,119.26,142.74,352.44,131.99,56.389
136094,45761,194905,116653,26623,262143,104643,136.68,162.26,298.98,221.1,56.411
148637,52977,183874,110889,24775,262143,158359,93.13,126.88,272.25,133.33,56.5885
122197,38033,210562,122049,27973,262143,122423,137.35,195.2,325.71,172.19,57.0325
134083,44781,196228,122784,26432,262143,112810,138.69,146.4,286.11,174.2,57.2509
118429,39738,195314,101486,24784,262143,192906,138.02,108.58,312.84,179.56,57.7013
130128,46090,185031,122071,25208,262143,109190,138.02,170.8,329.67,197.65,58.158
130635,45691,187374,104173,22800,262143,122085,146.73,150.06,246.51,204.35,58.2126
138564,48231,188280,107316,23077,262143,101689,158.79,115.9,274.23,176.88,58.2294
140044,49597,185050,102945,22735,262143,154321,126.63,113.46,245.52,179.56,58.2493
123264,40967,197189,123078,25592,262143,189911,98.49,129.32,284.13,129.98,58.2682
113612,37136,200498,113065,24893,262143,147376,89.78,123.22,315.81,142.71,58.3469
140599,52216,176465,115777,24434,262143,262143,159.46,193.98,308.88,223.78,58.3469
