"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","DAPI-A","FITC-A","PE-A","V-510_50-A","Time"
122917,41810,192669,117210,27335,262143,142541,152.09,152.5,302.94,177.55,74.3255
119975,38631,203534,119591,24840,262143,185301,145.39,192.76,308.88,190.95,74.3446
128793,44954,187761,114069,28004,262143,170348,102.51,118.34,300.96,131.32,74.7444
138410,49425,183528,120133,25548,262143,188364,134.67,202.52,277.2,182.91,76.7774
144367,50554,187151,99221.4,19941,262143,99735.5,166.83,162.26,289.08,234.5,77.0271
137100,49070,183106,117380,25184,262143,192447,154.1,170.8,355.41,204.35,77.0513
109534,35998,199412,118264,26740,262143,165498,131.32,159.82,343.53,182.91,77.7028
123294,41520,194610,115480,26369,262143,175728,146.73,167.14,363.33,201.67,77.9152
134244,46865,187727,94021.7,22547,262143,124473,87.1,142.74,207.9,152.76,78.1106
118460,40278,192746,106669,22417,262143,156518,97.82,139.08,276.21,131.32,78.6775
144252,52545,179916,95219.8,20036,262143,133157,160.8,186.66,221.76,220.43,78.9212
124645,39294,207888,116143,23897,262143,168192,149.41,181.78,278.19,193.63,80.4004
126241,39771,208024,105900,21320,262143,102972,111.22,139.08,254.43,139.36,80.4215
127669,43304,193213,126676,25533,262143,133437,140.7,158.6,319.77,187.6,81.1334
137254,49919,180193,109056,23787,262143,176079,146.06,162.26,246.51,190.28,81.3841
140094,50781,180800,122090,27240,262143,147868,143.38,191.54,320.76,174.87,81.4073
120502,41477,190400,100443,24736,262143,151943,113.23,143.96,241.56,121.27,81.7607
120462,39938,197671,124673,25691,262143,177550,136.01,173.24,332.64,200.33,82.4344
21759.8,22038,64708.6,362.34,361,65779.3,-11.11,14.07,-15.86,18.81,18.76,83.3628
126124,42245,195659,111024,21502,262143,114647,138.69,142.74,293.04,183.58,84.2459
128953,43259,195360,112395,27066,262143,204798,146.73,151.28,297.99,212.39,84.8964
117367,36998,207898,115039,24376,262143,156729,134,223.26,318.78,217.75,84.9145
142951,54294,172550,104885,23976,262143,113874,98.49,136.64,297.99,158.12,85.3112
14556,10205,93477.6,10.98,0,262143,-19.19,-2.01,-4.88,0.99,1.34,85.9788
15377.9,10101,99772.9,29.28,30,63963.1,10.1,10.05,4.88,-6.93,-6.7,85.9788
142926,50468,185599,101603,22829,262143,108745,149.41,185.44,215.82,193.63,86.3967
105184,32854,209817,89001.4,21889,262143,87364,133.33,165.92,191.07,152.09,87.9242
112911,36730,201462,132618,30489,262143,142220,131.99,137.86,314.82,172.86,89.1799
126791,43207,192315,116132,26347,262143,144504,540.02,933.3,363.33,593.62,89.5938
134415,43006,204832,122431,27261,262143,95712.6,152.09,156.16,271.26,182.24,89.6129
112231,35242,208704,107247,23743,262143,144586,118.59,115.9,315.81,150.75,90.5614
122128,40679,196755,123087,27500,262143,140685,158.79,136.64,344.52,196.98,90.6531
121058,38827,204333,118893,26577,262143,130097,141.37,128.1,337.59,178.22,91.5392
122475,42528,188735,98389.3,19983,262143,178851,213.06,203.74,309.87,213.73,91.5734
128554,44910,187596,111418,27704,262143,116583,127.3,124.44,286.11,174.2,92.6619
133079,46070,189309,110933,22116,262143,101020,150.08,145.18,291.06,194.97,93.0768
19669.9,15446,83457.7,1156.56,942,80463.2,47.47,11.39,20.74,-5.94,-7.37,93.6366
138516,47551,190907,52014.7,13281,256670,76097.4,578.21,319.64,165.33,407.36,94.1562
114720,37756,199129,111808,22848,262143,204594,138.02,151.28,277.2,168.84,94.3214
131496,44517,193583,117839,22732,262143,133806,131.32,135.42,312.84,174.87,94.3465
133859,48318,181559,125550,27261,262143,158397,150.75,146.4,291.06,214.4,94.3727
14768.1,15872,60978.1,98.82,97,66765.6,16.16,-6.03,2.44,-6.93,-2.01,94.6758
139009,48322,188529,107565,22896,262143,140993,127.3,140.3,262.35,198.32,95.3897
124312,40502,201148,115400,24105,262143,187905,90.45,146.4,311.85,136.01,96.7179
119354,40160,194771,105396,23985,262143,182472,100.5,136.64,290.07,127.3,98.0893
130513,41542,205896,127649,25981,262143,156677,117.92,178.12,328.68,179.56,98.1085
134762,46360,190504,120708,27718,262143,262143,119.93,167.14,350.46,180.23,98.8687
128239,43806,191852,123707,24349,262143,150688,144.72,192.76,307.89,203.68,98.8929
142786,51473,181797,98604.1,22153,262143,123223,272.69,254.98,268.29,247.23,99.2393
124621,42738,191098,109749,23663,262143,174778,144.72,170.8,282.15,179.56,100.345
131853,46126,187338,126141,25904,262143,145644,140.03,170.8,280.17,217.08,100.451
128721,40846,206529,121967,25275,262143,196018,97.82,162.26,318.78,140.7,101.574
148744,53854,181010,83389.4,20295,262143,64166.3,352.42,242.78,173.25,310.21,102.991
116076,38869,195712,111442,22460,262143,155194,111.22,136.64,298.98,133.33,103.411
122022,40162,199115,117797,24146,262143,141260,127.3,109.8,322.74,149.41,103.538
142282,49175,189621,64295.2,14796,262143,59642.5,354.43,258.64,179.19,309.54,105.488
161732,60043,176528,79700.2,19236,262143,66693.3,164.15,126.88,167.31,190.28,105.548
128351,41851,200990,112240,24697,262143,142414,112.56,139.08,311.85,146.06,106.061
103234,36265,186558,95208.8,24591,253735,262143,86.43,115.9,299.97,136.01,108.011
122956,43606,184792,105953,22504,262143,159878,147.4,168.36,271.26,168.84,108.025
119563,41519,188726,84242.2,18309,262143,74114.8,164.15,150.06,218.79,198.32,108.364
106254,33884,205508,115667,25218,262143,183677,103.18,119.56,291.06,134,109.705
125414,42734,192332,115096,22805,262143,119732,149.41,150.06,260.37,220.43,109.73
125177,42432,193335,126324,26410,262143,103349,142.71,150.06,301.95,172.19,110.108
